bout_number,fighter_1,fighter_1_odds,fighter_2,fighter_2_odds,updated_at
12,Fatima Kline,−1350,Melissa Martinez,+800,Jul-03-2025 10:45:AM
11,Mitch Ramirez,+700,Mike Davis,−1100,Jul-11-2025 12:37:PM
10,Kennedy Nzechukwu,−205,Valter Walker,+170,Jul-06-2025 04:46:PM
9,Lauren Murphy,+525,Eduarda Moura,−750,Jul-11-2025 12:37:PM
8,Jake Matthews,+136,Chidi Njokuani,−162,Jul-11-2025 12:37:PM
7,Max Griffin,+260,Chris Curtis,−325,Jul-11-2025 03:50:PM
6,Junior Tafa,−180,Tuco Tokkos,+150,Jul-11-2025 12:37:PM
5,Vitor Petrino,−700,Austen Lane,+500,Jul-11-2025 12:37:PM
4,Nate Landwehr,+210,Morgan Charriere,−258,Jul-11-2025 12:37:PM
3,Calvin Kattar,+105,Steve Garcia,−125,Jul-06-2025 04:46:PM
2,Stephen Thompson,+350,Gabriel Bonfim,−455,Jul-11-2025 12:37:PM
1,Derrick Lewis,+245,Tallison Teixeira,−305,Jul-11-2025 03:50:PM
